Time,核能,燃煤,汽電共生,民營燃煤,燃氣,民營燃氣,燃油,輕油,水力,風力,太陽能,其它再生,儲能,儲能負載
2024-07-11 00:10:00,164.5,897.5,134.8,216.9,1140.0,371.9,32.2,6.3,30.0,49.4,0.0,1.4,29.9,-3.5
2024-07-11 00:20:00,164.6,896.9,120.3,217.9,1148.6,355.9,32.5,6.1,28.9,48.3,0.0,1.3,33.4,-2.3
2024-07-11 00:30:00,164.5,895.8,111.3,218.4,1144.5,342.3,32.3,6.2,25.7,46.2,0.0,1.4,28.5,-2.5
2024-07-11 00:40:00,164.1,896.6,103.2,217.9,1144.3,347.5,32.0,6.1,25.8,43.7,0.0,1.4,32.9,-2.2
2024-07-11 00:50:00,164.5,898.4,92.4,217.4,1130.5,344.2,31.4,5.8,25.5,44.8,0.0,1.4,29.4,-2.6
2024-07-11 01:00:00,164.4,897.5,86.5,217.2,1110.4,342.7,31.6,5.8,25.3,46.9,0.0,1.4,29.5,-3.5
2024-07-11 01:10:00,164.2,898.5,88.4,217.7,1115.4,303.0,31.6,5.8,25.6,49.3,0.0,1.5,32.8,0.0
2024-07-11 01:20:00,164.0,897.5,81.9,217.1,1151.9,278.1,31.4,5.7,27.0,50.3,0.0,1.6,24.5,-0.2
2024-07-11 01:30:00,163.8,898.6,80.3,217.4,1153.8,261.8,31.3,5.7,26.8,51.5,0.0,1.5,22.3,-0.5
2024-07-11 01:40:00,164.2,898.4,80.6,216.5,1155.8,267.7,31.4,5.6,49.5,52.9,0.0,1.4,24.4,-24.3
2024-07-11 01:50:00,164.2,898.0,67.1,218.7,1159.6,267.3,31.5,5.6,28.8,53.3,0.0,1.1,14.8,-25.1
2024-07-11 02:00:00,164.1,896.7,67.7,216.7,1159.5,268.0,31.3,5.5,38.8,58.0,0.0,1.2,24.1,-49.6
2024-07-11 02:10:00,164.1,896.4,59.8,217.5,1157.8,268.1,31.2,5.5,30.1,62.6,0.0,1.1,23.6,-57.2
2024-07-11 02:20:00,163.7,898.7,59.7,217.3,1161.8,265.7,31.4,5.4,35.8,66.0,0.0,1.3,0.0,-56.9
2024-07-11 02:30:00,164.4,897.4,63.4,217.3,1162.0,266.7,31.7,5.4,35.7,65.7,0.0,1.3,0.0,-80.6
2024-07-11 02:40:00,164.4,897.7,59.7,217.2,1159.0,266.8,31.4,5.4,30.9,67.6,0.0,1.3,0.0,-82.4
2024-07-11 02:50:00,164.4,899.3,56.0,217.4,1151.3,264.7,31.2,5.3,28.5,71.5,0.0,1.3,0.0,-84.1
2024-07-11 03:00:00,164.3,896.4,51.2,217.9,1137.6,263.5,31.3,5.3,29.4,74.1,0.0,1.4,0.0,-83.3
2024-07-11 03:10:00,164.4,897.1,55.3,217.6,1130.8,262.8,31.2,5.2,25.9,75.9,0.0,1.3,0.0,-86.7
2024-07-11 03:20:00,164.4,897.6,56.2,216.8,1128.1,262.5,31.4,5.2,25.6,75.5,0.0,1.0,0.0,-86.3
2024-07-11 03:30:00,164.2,897.3,51.7,217.9,1117.5,262.2,31.2,5.1,24.8,72.5,0.0,1.2,0.0,-87.3
2024-07-11 03:40:00,164.1,891.5,57.4,217.7,1133.4,250.5,31.1,5.2,24.8,72.2,0.0,1.4,0.0,-86.0
2024-07-11 03:50:00,164.4,892.0,56.2,217.4,1118.8,251.5,31.1,5.1,24.8,73.2,0.0,1.3,0.0,-86.8
2024-07-11 04:00:00,164.0,886.6,57.4,217.7,1113.7,249.2,31.3,5.0,24.7,74.4,0.0,1.6,0.0,-85.7
2024-07-11 04:10:00,164.2,884.9,59.9,217.1,1119.0,254.5,31.3,4.9,25.0,77.3,0.0,1.5,0.0,-85.3
2024-07-11 04:20:00,164.4,883.7,55.9,216.2,1096.8,248.3,31.3,4.9,24.5,75.6,0.0,1.3,0.0,-86.7
2024-07-11 04:30:00,163.8,875.2,49.8,217.9,1104.6,248.5,31.1,4.8,24.5,75.8,0.0,1.3,0.0,-88.1
2024-07-11 04:40:00,164.3,871.8,59.5,223.5,1124.7,251.1,31.1,4.8,24.5,78.3,0.0,1.5,0.0,-111.7
2024-07-11 04:50:00,164.2,876.2,61.0,225.9,1079.0,248.1,31.4,4.8,24.8,79.4,0.0,1.4,0.0,-111.1
